0;-545.2769;396.2453;428.5434
1;-545.2769;396.2453;428.5434
2;-800.6491;370.9858;509.3595
3;-849.6158;362.4335;512.0000
4;-858.4003;355.4164;512.0000
5;-858.4003;355.4164;512.0000
6;-858.4003;355.4164;512.0000
7;-858.5577;355.9129;512.0000
8;-858.5577;355.9129;512.0000
9;-864.0514;353.3808;510.6009
10;-869.3778;355.5436;509.4366
11;-875.3245;354.1595;507.7704
12;-878.7386;353.2253;506.6457
13;-880.8387;352.5713;505.8584
14;-883.1990;351.1892;504.8747
15;-883.1990;351.1892;504.8747
16;-883.6392;352.0200;499.5008
17;-884.7659;343.8748;494.7655
18;-884.7659;343.8748;494.7655
19;-885.9867;343.0303;497.9416
