iteration;fitness;location_x;location_y
0;-907.3748;443.7501;462.7501
1;-907.3748;443.7501;462.7501
2;-907.3748;443.7501;462.7501
3;-912.7549;450.7211;463.4129
4;-916.2116;445.0054;462.5152
5;-926.1798;434.9538;452.4810
6;-933.2393;437.1967;453.1005
7;-933.2393;437.1967;453.1005
8;-934.6520;437.6561;452.0939
9;-934.6520;437.6561;452.0939
10;-934.6520;437.6561;452.0939
11;-934.6520;437.6561;452.0939
12;-934.6520;437.6561;452.0939
13;-934.8829;439.2874;454.4871
14;-935.0691;440.6005;454.7357
15;-935.0691;440.6005;454.7357
16;-935.0691;440.6005;454.7357
17;-935.0691;440.6005;454.7357
18;-935.0691;440.6005;454.7357
19;-946.4879;485.1366;440.8421
20;-946.4879;485.1366;440.8421
21;-946.4879;485.1366;440.8421
22;-946.4879;485.1366;440.8421
23;-946.4879;485.1366;440.8421
24;-946.4879;485.1366;440.8421
25;-946.4879;485.1366;440.8421
26;-946.4879;485.1366;440.8421
27;-946.4879;485.1366;440.8421
28;-946.4879;485.1366;440.8421
29;-951.6262;479.4100;435.2672
30;-951.6262;479.4100;435.2672
31;-951.6262;479.4100;435.2672
32;-959.6232;512.0000;404.3558
33;-959.6232;512.0000;404.3558
34;-959.6232;512.0000;404.3558
35;-959.6232;512.0000;404.3558
36;-959.6232;512.0000;404.3558
37;-959.6232;512.0000;404.3558
38;-959.6232;512.0000;404.3558
39;-959.6232;512.0000;404.3558
40;-959.6232;512.0000;404.3558
41;-959.6232;512.0000;404.3558
42;-959.6232;512.0000;404.3558
43;-959.6394;512.0000;404.1979
44;-959.6394;512.0000;404.1979
45;-959.6394;512.0000;404.1979
46;-959.6394;512.0000;404.1979
47;-959.6394;512.0000;404.1979
48;-959.6394;512.0000;404.1979
49;-959.6394;512.0000;404.1979
